T SUM NUM_NODES 7472
T SUM NUM_PRUNES 0
T SUM SEARCH_TIME 0.494440

Solving normal LP:
Solving with simplex method...done!
CPXlpopt ended with status 0!
CPXlpopt ended with lpstat 1!
Obj: w = 1 / 3 == 0.333333
Assigning optimum fraction and reducing LP.
temp_error_term = 0.0000001000
num_rounded = 72, num_remaining = 125
                                  w =          1 /          3 == 0.3333333333 =/= 0.3333333333
             d1r2a(0,0,0,0,1,1,0,1) =          1 /         12 == 0.0833333333 =/= 0.0833333333
             d1r2a(0,0,0,1,1,1,0,1) =          1 /         12 == 0.0833333333 =/= 0.0833333333
             d1r2a(0,0,0,1,1,0,1,1) =          1 /         12 == 0.0833333333 =/= 0.0833333333
             d1r2a(0,0,0,1,1,0,0,1) =          1 /         12 == 0.0833333333 =/= 0.0833333333
             d1r2a(0,0,0,0,1,0,1,1) =          1 /         12 == 0.0833333333 =/= 0.0833333333
             d1r2a(0,0,1,0,0,0,1,1) =         -1 /         12 == -0.0833333333 =/= -0.0833333333
             d1r2a(0,0,0,0,1,0,0,1) =          1 /         12 == 0.0833333333 =/= 0.0833333333

Now          0 of        125 variables and          0 of        934 constraints are remaining.
Maximum error with w : 0 / 1 == 0.000000
Maximum error without w : 0 / 1 == 0.000000
LP is feasible.
Optimum Value: 0.333333 == 1 / 3.
